Name,,,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1/47 Kawarren St,,,,Balwyn North,-37.78245,145.09273,u,950000,1,80,10/07/2020,3.93,1,76
12 Maud St,,,,Balwyn North,-37.79466,145.06564,h,1755000,30,3,12/12/2019,0.15,1,32
592 Mountain Hwy,,,,Bayswater,-37.84291,145.25545,h,606000,2,3,4/02/2019,0.16,1,0
2 George St,,,,Beaconsfield,-38.04668,145.36939,u,537000,1,3,20/07/2019,0.15,2,0
2/37 Bonanza Rd,,,,Beaumaris,-37.98214,145.05175,t,900000,5,1,27/02/2019,0.06,1,12
6 Monaco Cr,,,,Beaumaris,-37.97383,145.04525,h,1500000,3,5,13/03/2020,0.26,1,0
2 Osborne Av,,,,Bentleigh,-37.91648,145.04927,t,1435000,3,118,17/03/2020,5.74,4,66
2/9 Argyle St,,,,Bentleigh East,-37.91051,145.07139,u,592000,2,50,31/12/2019,2.44,1,0
2A Goodrich St,,,,Bentleigh East,-37.91155,145.076,h,900000,2,0,,,1,0
10 Juliana St,,,,Bentleigh East,-37.9145,145.05899,h,1780000,5,4,21/06/2019,0.25,75,0
16 Waratah St,,,,Bentleigh East,-37.91289,145.08065,t,1260000,3,59,21/03/2020,2.94,24,181
33 Jane St,,,,Berwick,-38.03517,145.33886,h,620000,2,0,,,5,0
5/323 Beach Rd,,,,Black Rock,-37.97853,145.0175,u,600000,1,20,18/03/2019,0.99,1,0
1/47 Bluff Rd,,,,Black Rock,-37.97287,145.01648,t,1215000,1,0,,,1,0
12/5 Travellyn Ct,,,,Blackburn South,-37.8321,145.14444,u,615000,7,25,20/03/2020,1.34,1,306
42 Matlock Rd,,,,Boronia,-37.85981,145.25475,h,790000,1,59,26/07/2020,2.97,13,0
15 New St,,,,Boronia,-37.8476,145.29493,h,770000,7,3,30/08/2019,0.19,1,0
9 Bishop St,,,,Box Hill,-37.81995,145.13089,h,1831000,3,39,17/03/2020,1.94,29,42
35 Carlton St,,,,Braybrook,-37.78062,144.84803,h,800000,2,2,4/02/2019,0.11,2,179
6/105 Cochrane St,,,,Brighton,-37.89569,144.99881,u,845000,3,16,30/05/2020,0.8,1,0
7/138 New St,,,,Brighton,-37.91814,144.99297,u,495000,30,0,,,1,232
6/30 Roslyn St,,,,Brighton,-37.92545,145.00277,u,760000,1,8,14/08/2020,1.22,1,363
1/141 South Rd,,,,Brighton,-37.92894,145.00341,h,1240000,15,54,15/03/2020,2.66,2,181
5 Evans Ct,,,,Broadmeadows,-37.69265,144.92653,h,586000,2,8,4/07/2019,0.45,1,0
18 Katunga Cr,,,,Broadmeadows,-37.67641,144.91435,h,706000,2,68,24/07/2020,3.37,6,70
54 Ophir St,,,,Broadmeadows,-37.68983,144.93499,h,550000,2,41,12/04/2020,2.05,4,169
30 Pinrush Rd,,,,Brookfield,-37.69104,144.54532,h,456000,2,40,29/02/2020,2.05,1,0
77 Corrigan Av,,,,Brooklyn,-37.82001,144.84245,u,555000,4,12,21/07/2019,0.6,1,0
1/46 Davies St,,,,Brunswick,-37.75715,144.96824,h,650000,1,8,24/03/2019,0.4,3,0
11 Marks St,,,,Brunswick,-37.76861,144.96848,h,1080000,1,4,10/02/2019,0.2,3,0
1/51 Brunswick Rd,,,,Brunswick East,-37.7784,144.97404,h,620000,1,4,2/01/2020,0.2,1,0
3/51 Brunswick Rd,,,,Brunswick East,-37.77818,144.97412,h,683000,1,10,24/04/2019,0.49,1,0
2/38 Ethel St,,,,Brunswick East,-37.77169,144.97557,h,501000,2,26,8/07/2020,2.03,1,178
603/29 Nicholson St,,,,Brunswick East,-37.77887,144.97797,u,615000,2,5,22/01/2019,0.25,1,0
17 Roberts St,,,,Brunswick East,-37.76695,144.98204,h,1220000,1,2,24/02/2019,0.11,1,88
17 Cohuna St,,,,Brunswick West,-37.77279,144.94069,h,1150000,3,2,15/03/2020,0.19,1,88
7/80 Hopetoun Av,,,,Brunswick West,-37.75201,144.9336,u,400000,2,11,31/12/2019,0.55,11,365
383 Burwood Hwy,,,,Burwood,-37.85156,145.13054,h,1750500,2,3,10/02/2019,0.15,1,90
1/2 Ellesmere Rd,,,,Burwood East,-37.85377,145.15512,u,835000,3,2,3/03/2019,0.1,2,0
16 Westbury St,,,,Cairnlea,-37.76048,144.78847,h,640000,2,10,6/03/2020,0.52,2,90
52 Ellsworth Cr,,,,Camberwell,-37.84143,145.08705,t,1280000,1,24,9/02/2020,1.21,11,68
78 Fordham Av,,,,Camberwell,-37.84115,145.0743,h,2400000,2,0,,,2,0
1/43 Inglesby Rd,,,,Camberwell,-37.83473,145.05698,u,682000,1,12,4/04/2020,0.69,18,365
6 Regent St,,,,Camberwell,-37.84403,145.09545,h,2500000,1,3,27/02/2019,0.15,3,0
11/596 Riversdale Rd,,,,Camberwell,-37.83227,145.06325,u,682000,7,0,,,1,364
2/37 Thomas St,,,,Camberwell,-37.84237,145.09257,u,600800,2,35,20/07/2020,1.75,29,178
66 Palmerston St,,,,Carlton,-37.79633,144.97269,h,920000,1,1,11/03/2019,0.06,1,180
384 Canning St,,,,Carlton North,-37.78829,144.97476,h,1690000,1,44,29/02/2020,2.2,1,358
2/8 Beena Av,,,,Carnegie,-37.88866,145.06305,u,680000,3,19,8/07/2020,1,22,341
13/1150 Dandenong Rd,,,,Carnegie,-37.88506,145.06411,u,316000,1,0,,,2,0
1/80 Truganini Rd,,,,Carnegie,-37.89178,145.0539,u,1151000,2,19,9/06/2020,0.93,38,350
10 Risley Cl,,,,Caroline Springs,-37.73868,144.7325,h,518000,1,48,15/03/2020,2.38,1,18
29 Whatley St,,,,Carrum,-38.07912,145.12965,h,625000,1,0,,,1,263
9 Pinewood Dr,,,,Carrum Downs,-38.09798,145.18737,h,480000,2,13,9/03/2020,0.64,1,89
1/6 Crana Ct,,,,Chadstone,-37.87883,145.09741,t,1050000,1,50,7/07/2020,2.48,73,365
364 Station St,,,,Chelsea,-38.05635,145.11836,h,750000,1,10,1/05/2020,0.52,67,362
11 Rebecca Cl,,,,Chelsea Heights,-38.03335,145.13212,h,835500,1,41,6/04/2020,2.03,73,263
22 Cavanagh St,,,,Cheltenham,-37.9641,145.06547,h,1740000,5,0,,,4,364
4/163 Centre Dandenong Rd,,,,Cheltenham,-37.96718,145.07681,u,560000,30,50,9/03/2020,2.62,7,139
3/33 Sunray Av,,,,Cheltenham,-37.96304,145.06421,t,751000,1,57,20/04/2020,2.82,73,238
8 Elliminya Ct,,,,Clarinda,-37.93759,145.10028,h,976000,1,9,12/05/2019,0.46,1,0
117 Roseneath St,,,,Clifton Hill,-37.79274,144.99863,h,1662500,1,4,19/01/2019,0.2,3,0
7/16 The Esplanade,,,,Clifton Hill,-37.78791,145.00588,u,591000,1,4,16/11/2019,0.21,1,0
3/7 Dare St,,,,Coburg,-37.74945,144.96737,h,650000,5,2,20/02/2019,0.11,2,0
68 Marks St,,,,Coburg,-37.74892,144.95759,h,1400000,1,12,26/11/2019,0.62,1,362
34 Soudan St,,,,Coburg,-37.73883,144.95321,h,996000,14,2,17/01/2020,0.1,1,364
4/94 The Grove,,,,Coburg,-37.75287,144.97743,u,430000,1,47,16/07/2020,2.32,2,157
17 Delta Av,,,,Coburg North,-37.72165,144.95853,h,1011000,2,20,16/03/2020,1,24,66
39 Peterson Av,,,,Coburg North,-37.73323,144.98228,h,770000,3,28,18/07/2020,1.44,1,286
10 Shore Gr,,,,Coburg North,-37.73156,144.97087,t,830000,1,19,21/06/2020,0.95,6,175
470 Barry Rd,,,,Coolaroo,-37.66508,144.93506,h,455000,1,65,13/07/2020,3.17,31,157
15 Champion Pde,,,,Craigieburn,-37.59392,144.89956,h,510000,2,3,15/03/2020,0.17,1,0
10 Olympic Wy,,,,Craigieburn,-37.58505,144.93592,h,590000,3,20,29/06/2020,0.98,4,349
66 Willmott Dr,,,,Craigieburn,-37.58739,144.92619,h,390000,2,38,23/03/2020,1.91,1,323
13 Cumquat Ct,,,,Cranbourne North,-38.07202,145.27369,h,500000,4,6,7/12/2019,0.3,40,0
20 Glenora Av,,,,Croydon,-37.79578,145.27461,h,1150000,5,4,2/02/2019,0.2,40,0
1/6 Kitchener Rd,,,,Croydon,-37.79115,145.28337,h,745000,2,13,21/05/2020,0.65,1,365
6 Powell St,,,,Croydon,-37.78444,145.30267,h,928000,1,22,5/06/2020,1.13,13,219
24 County Tce,,,,Croydon Hills,-37.77791,145.26912,h,1020000,1,20,24/05/2020,1.03,6,181
1/30 Boyd St,,,,Dandenong North,-37.96769,145.21732,u,617000,1,0,,,4,322
10 Wilsons Rd,,,,Doncaster,-37.79244,145.12021,h,1420000,1,0,,,4,321
54 Devon Dr,,,,Doncaster East,-37.79509,145.15591,h,1120000,1,1,22/04/2019,0.06,4,322
27 Gaudion Rd,,,,Doncaster East,-37.7746,145.15141,h,1655000,1,1,6/06/2020,0.39,4,322
39A George St,,,,Doncaster East,-37.78177,145.15818,t,970000,2,8,24/02/2019,0.4,21,0
10 Heysen Gr,,,,Doncaster East,-37.77746,145.17161,h,1225000,1,16,11/03/2019,0.79,5,16
14 Morello Cir,,,,Doncaster East,-37.7626,145.17126,t,1120000,2,29,19/06/2020,1.45,29,261
21 Runnymede St,,,,Doncaster East,-37.77859,145.15755,h,1460000,1,5,8/12/2019,0.26,14,364
2 Hughes Rd,,,,Doreen,-37.58279,145.12172,h,500000,1,5,9/03/2020,0.27,67,236
13 Sandover St,,,,Doreen,-37.6038,145.10958,h,531000,3,0,,,1,0
35 Fugosia St,,,,Doveton,-37.99581,145.24098,h,508000,2,5,23/02/2020,0.24,1,0
49 Kanooka Gr,,,,Doveton,-37.99608,145.23587,h,450000,5,2,30/01/2019,0.1,1,0
18 Carlsberg Rd,,,,Eaglemont,-37.76457,145.06555,h,3300000,1,53,30/06/2020,2.61,3,27
17 Tudor Ct,,,,Edithvale,-38.03227,145.11759,u,700000,2,34,9/03/2020,1.66,12,270
3/14 Sinclair St,,,,Elsternwick,-37.88295,145.00083,u,834500,1,56,21/06/2020,2.8,2,179
45 Acheron Cr,,,,Eltham North,-37.70338,145.1333,h,850000,2,5,23/02/2019,0.25,13,0
15 Highpoint Cr,,,,Eltham North,-37.70697,145.14105,h,920000,1,28,7/03/2020,1.37,1,18
20 Ramptons Rd,,,,Eltham North,-37.7068,145.13232,h,850000,28,0,,,3,174
3/28 Avoca Av,,,,Elwood,-37.87307,144.98635,u,930000,30,0,,,1,358
1/121 Brighton Rd,,,,Elwood,-37.87449,144.99059,u,720000,3,0,,,2,201
4/19 Ruskin St,,,,Elwood,-37.87472,144.98235,t,1035000,1,0,,,1,364
34 Selwyn Av,,,,Elwood,-37.88617,144.9833,h,1820000,1,6,17/02/2019,0.3,1,0
4/505 St Kilda St,,,,Elwood,-37.88465,144.99177,t,710000,2,2,20/01/2019,0.1,1,0
3/521 St Kilda St,,,,Elwood,-37.88351,144.99202,u,715000,5,6,17/02/2020,0.5,10,365
35 Kings Rd,,,,Emerald,-37.93064,145.4453,h,655000,2,0,,,5,0
44 Denton Dr,,,,Endeavour Hills,-37.98418,145.27178,h,630000,3,0,,,1,0
3 Dunster Ct,,,,Endeavour Hills,-37.98873,145.27019,h,1015000,2,20,23/03/2020,1.68,1,0
9 Knight Ct,,,,Endeavour Hills,-37.98841,145.26001,h,676000,2,0,,,1,0
13 Merton Ct,,,,Endeavour Hills,-37.96837,145.25176,h,580000,6,0,,,1,89
19 Lotus Ct,,,,Epping,-37.63762,145.03539,h,658000,1,7,13/01/2020,0.35,8,80
13 Manley St,,,,Epping,-37.63169,145.03135,h,500000,14,8,29/12/2019,0.42,1,0
8 Shields St,,,,Epping,-37.62882,145.00979,h,560000,1,51,24/07/2020,2.53,3,160
2/33 Wedge St,,,,Epping,-37.65151,145.02815,u,503000,2,20,28/03/2020,1.1,1,79
6/23 Daisy St,,,,Essendon,-37.75465,144.9107,u,468000,1,4,16/02/2019,0.2,2,0
129 Deakin St,,,,Essendon,-37.74093,144.89279,t,1002000,3,12,6/05/2019,0.62,2,50
27 McPhail St,,,,Essendon,-37.75485,144.9119,h,1315000,2,14,25/05/2020,0.69,1,181
1/46 Richardson St,,,,Essendon,-37.7498,144.91228,u,550000,1,4,24/02/2019,0.2,1,0
61 William St,,,,Essendon,-37.74473,144.90238,h,1875000,3,57,12/03/2020,3.13,2,103
9 Rushall St,,,,Fairfield,-37.77662,145.02288,h,1800000,14,85,27/03/2020,4.26,11,45
27 Vervale Av,,,,Fawkner,-37.71313,144.97248,h,661000,5,2,11/01/2020,0.25,1,364
3 Hooker Rd,,,,Ferntree Gully,-37.87768,145.25918,h,861000,2,23,28/06/2020,1.23,13,177
79 McIver St,,,,Ferntree Gully,-37.89766,145.29185,h,760000,1,3,22/08/2019,0.17,4,365
72 Ormonde Rd,,,,Ferntree Gully,-37.89508,145.27879,h,890000,3,23,22/02/2020,1.15,1,248
9/51 Napier St,,,,Footscray,-37.80474,144.9021,u,370000,1,71,5/07/2020,3.59,3,277
18 White St,,,,Footscray,-37.79462,144.89385,h,957000,1,44,29/03/2020,2.22,9,90
4/93 Dandenong Rd E,,,,Frankston,-38.13275,145.13099,u,266000,2,4,16/03/2019,0.21,1,0
55 Margate Av,,,,Frankston,-38.16147,145.14285,h,680000,3,5,20/06/2020,0.25,40,0
35 McAlister St,,,,Frankston,-38.14016,145.13583,h,655000,1,0,,,1,179
7 Wirilda Cr,,,,Frankston North,-38.11984,145.16209,h,570000,4,0,,,1,0
90 Yuille St,,,,Frankston South,-38.16227,145.1208,h,945000,1,6,2/03/2019,0.31,1,179
1/1110 Glen Huntly Rd,,,,Glen Huntly,-37.88937,145.04038,u,450000,3,0,,,1,0
23 Hillside Pde,,,,Glen Iris,-37.84914,145.06421,h,1908000,30,0,,,3,90
4/1508 Malvern Rd,,,,Glen Iris,-37.85448,145.0485,t,955000,1,8,9/02/2019,0.4,1,0
20 Cowrie St,,,,Glen Waverley,-37.88927,145.18548,h,1200000,1,4,16/01/2019,0.2,1,362
9 McKenna Rd,,,,Glen Waverley,-37.89928,145.1474,h,1130000,4,3,28/01/2019,0.15,1,0
20A Apsley St,,,,Glenroy,-37.70768,144.92586,h,820000,1,39,4/06/2020,2.17,1,307
71 Augustine Tce,,,,Glenroy,-37.69912,144.90996,h,760000,1,22,24/03/2020,1.1,6,180
69 Melbourne Av,,,,Glenroy,-37.70425,144.93164,h,680000,5,0,,,13,0
9 Rowan St,,,,Glenroy,-37.69865,144.91733,h,629500,15,0,,,1,365
3 Bluebell Cr,,,,Gowanbrae,-37.70606,144.89412,h,900000,1,6,22/08/2019,0.33,2,108
50 Albion Cr,,,,Greensborough,-37.69646,145.12163,h,770000,3,1,14/07/2019,0.07,1,0
14 Glenwood Dr,,,,Greensborough,-37.68433,145.11018,h,887500,2,5,4/03/2019,0.26,1,0
12 Yangoora Pl,,,,Greensborough,-37.70077,145.12743,h,900000,2,28,10/03/2020,1.4,1,365
18 Exeter St,,,,Hadfield,-37.71177,144.94781,h,860000,3,9,28/07/2020,0.47,21,90
18/352 Auburn Rd,,,,Hawthorn,-37.83197,145.04306,u,580000,1,49,31/01/2020,2.41,1,0
5/24 Muir St,,,,Hawthorn,-37.81494,145.01744,u,840000,30,0,,,1,365
9 Randolph St,,,,Hawthorn,-37.81628,145.02125,h,1460000,1,58,11/04/2020,2.89,73,319
6/712 Burwood Rd,,,,Hawthorn East,-37.82465,145.05092,u,400000,1,2,23/01/2019,0.1,1,0
22 Orchard Gr,,,,Heathmont,-37.83637,145.24246,h,901000,15,1,25/01/2019,0.05,2,0
2/14 Edgar St,,,,Heidelberg,-37.74897,145.07024,t,835000,500,1,18/12/2018,0.05,1,365
28 Graham Rd,,,,Highett,-37.9526,145.04207,h,1257000,5,0,,,2,365
1/12 Jillian Av,,,,Highett,-37.94775,145.02379,t,1200000,1,4,11/01/2020,0.21,3,68
1/1 Peterson St,,,,Highett,-37.9461,145.02432,t,1030000,1,3,27/01/2019,0.15,1,0
23 The Crescent,,,,Highett,-37.94691,145.04935,h,1260000,3,34,4/01/2020,1.76,1,79
31 The Crescent,,,,Highett,-37.94633,145.04947,t,1200000,2,0,,,1,0
46 Wilson St,,,,Highett,-37.94763,145.02717,h,1150000,2,4,23/02/2019,0.2,13,0
1/14 Jade Wy,,,,Hillside,-37.70428,144.74705,u,485000,2,37,8/02/2020,1.83,39,0
20 Viridian Dr,,,,Hillside,-37.68104,144.74608,h,618350,7,0,,,1,0
7 Brooke Ct,,,,Hoppers Crossing,-37.87447,144.66771,h,540000,1,1,22/12/2018,0.05,1,0
39 Hargreaves St,,,,Huntingdale,-37.90904,145.10903,h,990000,6,5,8/02/2020,0.25,1,0
6 Carn Av,,,,Ivanhoe,-37.76231,145.05138,h,2250000,2,8,23/02/2020,0.4,2,0
25 Fairy St,,,,Ivanhoe,-37.77671,145.04005,h,2530000,3,8,12/11/2019,0.41,4,365
29 Fox Ct,,,,Jacana,-37.68907,144.91459,h,620500,1,12,7/03/2020,0.75,1,180
9 Surrey Dr,,,,Keilor East,-37.75166,144.87552,h,1475000,1,63,31/07/2020,3.65,1,50
45 Collinson St,,,,Keilor Park,-37.72224,144.85739,h,750000,1,114,4/07/2020,5.61,1,351
26 Snow St,,,,Keilor Park,-37.72285,144.86073,h,765000,1,8,23/02/2019,0.4,1,0
401/40 Altona St,,,,Kensington,-37.79818,144.92685,u,445000,2,36,14/04/2020,1.86,4,180
509/72 Altona St,,,,Kensington,-37.79741,144.92614,u,501000,1,8,17/03/2020,0.41,6,178
42 Gower St,,,,Kensington,-37.7956,144.92779,h,1060000,3,28,20/07/2020,1.49,22,73
6/385 Barkers Rd,,,,Kew,-37.81614,145.05056,t,1405000,2,16,29/01/2020,0.81,2,0
11 Raheen Dr,,,,Kew,-37.80437,145.01725,h,3015000,1,14,7/02/2020,0.76,4,91
7 Cadow St,,,,Kew East,-37.79589,145.05223,h,1500000,1,2,18/01/2020,0.24,5,84
28 Eildon Dr,,,,Keysborough,-37.9884,145.15925,h,745000,2,18,16/03/2020,0.92,1,137
5 Faoro Ct,,,,Keysborough,-37.99432,145.16143,h,725000,1,42,21/02/2020,2.17,3,283
5/35 Kingsville St,,,,Kingsville,-37.80893,144.87878,u,216000,2,2,23/04/2019,0.12,1,0
16 Mistletoe Cl,,,,Knoxfield,-37.88309,145.24917,h,1070000,20,0,,,2,0
55 Dunvegan Dr,,,,Kurunjang,-37.66195,144.59785,h,375000,1,69,26/05/2020,3.43,8,248
2/7 Cooma Ct,,,,Lalor,-37.66612,145.0008,u,444000,3,50,8/08/2020,2.48,31,179
168 Darebin Dr,,,,Lalor,-37.67024,145.03644,h,544000,2,18,7/09/2019,0.9,1,0
52 Monash St,,,,Lalor,-37.66101,145.02568,h,580500,1,62,29/07/2020,3.14,2,335
60 Robert St,,,,Lalor,-37.66781,145.00926,h,710000,3,3,26/12/2019,0.24,27,16
105 William St,,,,Lalor,-37.67427,145.02961,h,700000,7,1,7/03/2019,0.06,2,90
2 Gianna Wy,,,,Langwarrin,-38.13673,145.21616,h,565500,1,1,8/03/2019,0.06,1,181
54 Edwards St,,,,Lower Plenty,-37.72608,145.12115,h,1129000,1,28,21/02/2020,1.45,3,283
1/1 Clarendon St,,,,Maidstone,-37.78502,144.86733,t,670000,3,5,1/01/2020,0.27,2,365
2/166 Mitchell St,,,,Maidstone,-37.78133,144.86768,t,821000,7,0,,,2,364
2/11 Dutton Ct,,,,Meadow Heights,-37.64992,144.91883,t,360000,2,1,13/01/2019,0.05,1,0
19 Papworth Pl,,,,Meadow Heights,-37.65168,144.91868,h,510000,1,3,20/01/2019,0.15,3,0
709/87 Franklin St,,,,Melbourne,-37.80802,144.96168,u,565000,2,18,28/03/2020,0.99,2,263
713/118 Russell St,,,,Melbourne,-37.81351,144.96908,u,540000,90,0,,,1,180
24 Blaxland Rd,,,,Melton South,-37.71195,144.57235,h,300000,2,21,12/03/2020,1.09,1,269
48 Manson Dr,,,,Melton South,-37.70228,144.57688,h,385000,3,13,15/05/2020,0.67,21,365
20 Linlithgow Wy,,,,Melton West,-37.67396,144.55784,h,427500,2,5,28/01/2019,0.25,1,0
1/33 Riviera St,,,,Mentone,-37.97836,145.07303,u,641000,1,2,7/06/2020,0.52,4,364
14 Jasmine Dr,,,,Mill Park,-37.6764,145.05085,h,668000,1,88,27/06/2020,4.35,2,346
14 Medlar Ct,,,,Mill Park,-37.66898,145.07209,h,650000,2,6,9/03/2020,0.31,1,1
2 Mimosa Rd,,,,Mill Park,-37.6745,145.05491,h,490000,3,2,14/08/2019,0.11,40,0
5 Peyton Dr,,,,Mill Park,-37.65639,145.06518,h,800000,14,0,,,41,365
117 Telopea Cr,,,,Mill Park,-37.66683,145.07751,h,955000,14,15,22/02/2020,0.75,63,356
38 Wenden Rd,,,,Mill Park,-37.66726,145.05819,h,635000,7,6,13/01/2020,0.3,1,82
1/381 Elgar Rd,,,,Mont Albert,-37.82335,145.11358,t,943000,1,0,,,1,0
90 Bent St,,,,Moonee Ponds,-37.76261,144.93249,h,1400000,1,81,27/06/2020,4.08,4,84
59 Margaret St,,,,Moonee Ponds,-37.76321,144.91958,h,1245000,1,8,29/12/2019,0.4,1,89
3/13 Perry St,,,,Moorabbin,-37.93793,145.04048,t,920000,2,5,28/02/2019,0.25,7,0
149 Manchester Rd,,,,Mooroolbark,-37.7753,145.31266,h,696000,2,27,21/05/2020,1.35,1,259
4/6 Crown Av,,,,Mordialloc,-38.00765,145.0935,u,600000,2,6,22/09/2019,0.3,3,91
37 Waimarie Dr,,,,Mount Waverley,-37.87735,145.13357,h,1635000,1,2,16/01/2019,0.1,3,0
16 Walker Rd,,,,Mount Waverley,-37.86198,145.139,h,1406000,1,2,10/01/2019,0.1,3,0
3 Wortley Av,,,,Mount Waverley,-37.85858,145.12053,h,1640000,2,24,14/03/2020,1.24,1,119
35 Bevis St,,,,Mulgrave,-37.93168,145.16126,h,9000000,5,7,22/08/2019,0.37,3,140
5 Grainger Ct,,,,Mulgrave,-37.9128,145.16152,h,1001000,1,0,,,1,362
7 Tottenham Gr,,,,Mulgrave,-37.92299,145.19156,h,1030000,1,28,22/04/2020,1.51,25,0
2/20 Gerald St,,,,Murrumbeena,-37.89563,145.06992,u,540000,1,1,1/01/2019,0.05,1,358
1/48 Kangaroo Rd,,,,Murrumbeena,-37.89801,145.07104,u,910000,14,0,,,1,365
8/25 Omama Rd,,,,Murrumbeena,-37.89022,145.07333,u,295000,2,35,2/02/2020,1.75,3,151
33 Weeroona Rd,,,,Murrumbeena,-37.888,145.07123,h,1965000,1,40,15/03/2020,2.05,39,0
41 Gordon St,,,,Newport,-37.83712,144.86686,t,950000,1,5,5/03/2020,0.27,5,0
22/4 Mason St,,,,Newport,-37.84212,144.88211,u,582000,2,17,6/03/2020,0.87,1,262
38 Dunblane Rd,,,,Noble Park,-37.962,145.18035,h,695000,2,3,20/04/2019,0.16,25,0
18/375 Abbotsford St,,,,North Melbourne,-37.79773,144.94611,u,681000,1,11,10/02/2019,0.55,1,0
195 Peel St,,,,North Melbourne,-37.80304,144.95614,h,1803000,7,133,11/07/2020,6.58,23,101
4 Barry St,,,,Northcote,-37.78024,144.99289,h,950000,2,13,28/04/2019,0.65,1,0
120 Darebin Rd,,,,Northcote,-37.76433,145.00813,h,1610000,1,16,14/03/2020,0.8,24,200
30 Johnson St,,,,Northcote,-37.7631,144.99884,h,1515000,1,13,28/02/2020,0.72,24,77
3/61 Mount Pleasant Rd,,,,Nunawading,-37.82577,145.17896,u,725000,3,3,16/03/2020,0.17,2,353
2/281 Springvale Rd,,,,Nunawading,-37.82923,145.1744,u,813000,1,11,27/01/2020,0.57,5,90
2/36 Curie Av,,,,Oak Park,-37.71652,144.92268,t,545000,3,0,,,5,90
15 Nerissa Gr,,,,Oak Park,-37.71979,144.92341,h,1300000,1,11,25/11/2019,0.55,5,16
88 Vincent St,,,,Oak Park,-37.71652,144.91211,h,1260000,3,0,,,5,84
59 Winifred St,,,,Oak Park,-37.7204,144.9143,h,921000,2,88,18/04/2020,4.39,2,0
9 Mimosa Av,,,,Oakleigh South,-37.9123,145.09737,h,1250000,3,41,16/01/2020,2.07,1,0
58 Sherbrooke Av,,,,Oakleigh South,-37.93869,145.08441,h,840000,7,3,1/04/2019,0.15,1,0
5 Morris St,,,,Parkdale,-37.99336,145.08953,h,1350000,2,39,16/08/2020,1.95,1,180
16/43 Arndt Rd,,,,Pascoe Vale,-37.72136,144.92932,u,541000,1,16,17/06/2020,0.83,6,146
1/36 Bolingbroke St,,,,Pascoe Vale,-37.73199,144.93395,u,565000,2,16,22/07/2020,0.8,4,358
215 Derby St,,,,Pascoe Vale,-37.71962,144.94756,h,840000,1,2,5/02/2019,0.1,4,358
61 Pardy St,,,,Pascoe Vale,-37.7327,144.92966,h,940000,2,0,,,2,0
23 Boathaven Rd,,,,Point Cook,-37.91269,144.73946,h,620000,1,0,,,3,0
25 Yuruga Bvd,,,,Point Cook,-37.90622,144.74946,h,801000,1,8,14/02/2020,0.48,25,0
83 Evans St,,,,Port Melbourne,-37.83446,144.94021,h,1722500,3,25,1/07/2020,1.38,1,227
178 Princes St,,,,Port Melbourne,-37.83789,144.93834,h,2730000,4,0,,,2,232
84 Raglan St,,,,Port Melbourne,-37.83424,144.94572,h,1030000,2,37,19/01/2020,1.84,1,0
504/7 King St,,,,Prahran,-37.84968,144.99389,u,520000,2,8,31/12/2019,0.44,1,179
20 Austral Av,,,,Preston,-37.74684,144.9933,h,1485000,2,4,3/02/2019,0.2,1,0
47 Cooper St,,,,Preston,-37.73526,144.99508,h,1350000,1,14,10/10/2019,0.71,25,0
483 Gilbert Rd,,,,Preston,-37.73379,144.99054,h,905000,2,17,30/06/2020,0.85,6,345
5 Toolangi Gr,,,,Preston,-37.75371,145.01964,h,1045000,1,41,28/02/2020,2.11,1,0
9 Darebin Bvd,,,,Reservoir,-37.70433,145.02068,h,905000,1,24,24/10/2019,1.24,1,0
14 Kinkora Rd,,,,Reservoir,-37.73019,145.01712,h,875000,1,8,14/03/2020,0.41,3,0
40 Lockton Av,,,,Reservoir,-37.69505,144.98126,h,670000,1,0,,,1,0
2 Moira Av,,,,Reservoir,-37.69372,144.98058,h,605000,2,28,29/07/2020,1.48,46,171
1/33 Oconnor St,,,,Reservoir,-37.71045,145.0018,t,672000,1,9,15/03/2020,0.47,25,0
1/77 Abinger St,,,,Richmond,-37.82009,145.0038,u,660000,3,5,16/03/2020,0.46,25,0
61 Baker St,,,,Richmond,-37.81179,145.00351,h,1310000,5,0,,,1,365
16/297 Church St,,,,Richmond,-37.8211,144.99896,u,666000,1,8,24/03/2019,0.41,1,0
5/33 Davison St,,,,Richmond,-37.81317,145.00834,u,330000,5,2,21/01/2019,0.1,75,0
712/8 Howard St,,,,Richmond,-37.83305,144.99745,u,927000,1,29,7/03/2020,1.46,25,0
3/30 Tanner St,,,,Richmond,-37.82328,144.99203,u,575500,2,24,10/08/2019,1.21,25,0
23 Rosedale Cr,,,,Ringwood East,-37.81289,145.24213,h,1400000,2,16,8/06/2020,0.83,1,314
2 Jenkins Cl,,,,Ringwood North,-37.79682,145.21731,h,850000,2,1,26/01/2019,0.05,1,0
81 Kubis Dr,,,,Ringwood North,-37.79465,145.2244,h,1005000,1,16,6/06/2019,0.82,1,90
10/199 Hotham St,,,,Ripponlea,-37.87827,144.99752,u,558500,1,2,4/04/2019,0.1,1,0
24 Centaurus Av,,,,Roxburgh Park,-37.62464,144.9345,h,393200,1,1,26/01/2019,0.05,1,88
13 McKinley Dr,,,,Roxburgh Park,-37.63544,144.93274,h,460000,1,9,17/03/2020,0.48,25,0
